5.0000,0.0000,1.0000,0.0000,0.0000,3.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
4.9740,0.5093,1.1020,0.1020,0.1020,3.0408,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
4.8962,1.0133,1.2041,0.2041,0.2041,3.0816,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
4.7675,1.5068,1.3061,0.3061,0.3061,3.1224,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
4.5893,1.9846,1.4082,0.4082,0.4082,3.1633,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
4.3632,2.4418,1.5102,0.5102,0.5102,3.2041,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
4.0918,2.8735,1.6122,0.6122,0.6122,3.2449,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
3.7778,3.2754,1.7143,0.7143,0.7143,3.2857,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
3.4245,3.6432,1.8163,0.8163,0.8163,3.3265,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
3.0356,3.9731,1.9184,0.9184,0.9184,3.3673,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
2.6151,4.2616,2.0204,1.0204,1.0204,3.4082,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
2.1674,4.5058,2.1224,1.1224,1.1224,3.4490,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
1.6971,4.7032,2.2245,1.2245,1.2245,3.4898,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
1.2092,4.8516,2.3265,1.3265,1.3265,3.5306,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
0.7087,4.9495,2.4286,1.4286,1.4286,3.5714,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
0.2009,4.9960,2.5306,1.5306,1.5306,3.6122,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
-0.3091,4.9904,2.6327,1.6327,1.6327,3.6531,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
-0.8158,4.9330,2.7347,1.7347,1.7347,3.6939,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
-1.3141,4.8242,2.8367,1.8367,1.8367,3.7347,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
-1.7987,4.6653,2.9388,1.9388,1.9388,3.7755,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
-2.2645,4.4578,3.0408,2.0408,2.0408,3.8163,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
-2.7068,4.2039,3.1429,2.1429,2.1429,3.8571,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
-3.1210,3.9063,3.2449,2.2449,2.2449,3.8980,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
-3.5027,3.5681,3.3469,2.3469,2.3469,3.9388,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000,10.0000,10.0000,5.0000
