datetime,h,T,t_final,cav,path_following,delays,K,num_agents,trajectory_type,mean_mpc_time,max_mpc_time,consensus_time,du11
2026-03-14_03-54-35,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",20,4,circular,0.006864156904099862,0.02364063262939453,3.95,
2026-03-14_03-54-51,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",25,4,circular,0.007484751312356246,0.01596212387084961,3.8000000000000003,
2026-03-14_17-50-44,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",1,3,mixed,0.0059752640244747045,0.016633272171020508,33.65,
2026-03-14_17-51-09,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",2,3,mixed,0.005715542555974683,0.01014399528503418,10.65,
2026-03-14_17-51-25,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",3,3,mixed,0.006157096095649992,0.011044740676879883,6.050000000000001,
2026-03-14_17-51-37,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",4,3,mixed,0.006461925433513305,0.013906240463256836,4.3500000000000005,
2026-03-14_17-51-48,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",5,3,mixed,0.007199510162425153,0.018684864044189453,3.5500000000000003,
2026-03-14_17-51-57,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",10,3,mixed,0.007715615961286757,0.013623476028442383,2.4000000000000004,
2026-03-14_17-52-11,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",15,3,mixed,0.008995496604337272,0.017478227615356445,4.15,
2026-03-14_17-52-22,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",20,3,mixed,0.008452830844455295,0.019426822662353516,3.75,
2026-03-14_17-52-32,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",25,3,mixed,0.009171445385303373,0.018529891967773438,2.5500000000000003,
2026-03-14_17-54-17,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",1,4,mixed,0.005966839547884666,0.01827549934387207,29.5,
2026-03-14_17-54-54,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",2,4,mixed,0.007225777421678815,0.015003442764282227,8.4,
2026-03-14_17-55-15,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",3,4,mixed,0.006836858487898304,0.010576248168945312,4.65,
2026-03-14_17-55-34,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",4,4,mixed,0.0079500208730283,0.011931419372558594,3.45,
2026-03-14_17-55-50,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",5,4,mixed,0.008312925182539841,0.016646146774291992,2.9000000000000004,
2026-03-14_17-56-16,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",10,4,mixed,0.010232928690019545,0.0299532413482666,4.55,
2026-03-14_17-56-39,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",15,4,mixed,0.011111104344747153,0.021499156951904297,4.15,
2026-03-14_17-56-58,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",20,4,mixed,0.010374990445149095,0.021295547485351562,3.95,
2026-03-14_17-57-17,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",25,4,mixed,0.011473950586820903,0.022670984268188477,3.8000000000000003,
2026-03-14_17-58-46,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",1,3,circular,0.004814875249876841,0.010589361190795898,33.65,
2026-03-14_17-59-13,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",2,3,circular,0.005418047285602313,0.008558273315429688,10.65,
2026-03-14_17-59-30,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",3,3,circular,0.005609916918205492,0.011314630508422852,6.050000000000001,
2026-03-14_17-59-43,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",4,3,circular,0.005934503343370225,0.015117883682250977,4.3500000000000005,
2026-03-14_17-59-55,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",5,3,circular,0.005758991823509825,0.010912418365478516,3.5500000000000003,
2026-03-14_18-00-03,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",10,3,circular,0.0056758638885286115,0.010616064071655273,2.4000000000000004,
2026-03-14_18-00-14,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",15,3,circular,0.00596797801404593,0.011920690536499023,4.15,
2026-03-14_18-00-24,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",20,3,circular,0.006574009789360894,0.01266622543334961,3.75,
2026-03-14_18-00-32,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",25,3,circular,0.007271660698784722,0.014870643615722656,2.5500000000000003,
2026-03-14_18-02-06,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",1,4,circular,0.004207423379865743,0.0077304840087890625,29.5,
2026-03-14_18-02-35,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",2,4,circular,0.004417826377210163,0.00789785385131836,8.4,
2026-03-14_18-02-53,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",3,4,circular,0.004540527379640969,0.012505054473876953,4.65,
2026-03-14_18-03-06,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",4,4,circular,0.004586648249971694,0.008185386657714844,3.45,
2026-03-14_18-03-18,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",5,4,circular,0.004831245233272684,0.008557558059692383,2.9000000000000004,
2026-03-14_18-03-35,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",10,4,circular,0.005700741495404925,0.010578393936157227,4.55,
2026-03-14_18-03-52,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",15,4,circular,0.006585898169551988,0.013384580612182617,4.15,
2026-03-14_18-04-08,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",20,4,circular,0.007407730138754543,0.02313995361328125,3.95,
2026-03-14_18-04-25,0.05,1200,60,False,False,"[2.1, 1.3, 0.1, 3.5]",25,4,circular,0.008058735414555198,0.017246007919311523,3.8000000000000003,
2026-03-14_18-11-30,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",1,3,mixed,0.006074182865983348,0.013763189315795898,44.25,
2026-03-14_18-12-00,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",2,3,mixed,0.005894238993806659,0.010643243789672852,13.25,
2026-03-14_18-12-18,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",3,3,mixed,0.006450889157313926,0.010218381881713867,6.800000000000001,
2026-03-14_18-12-32,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",4,3,mixed,0.006843171221144656,0.010880470275878906,4.7,
2026-03-14_18-12-43,0.05,1200,60,False,False,"[1.1, 4.8, 0.1, 6.5]",5,3,mixed,0.006644815729375472,0.011741161346435547,3.8000000000000003,
